               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0137T64-1ES             2196.907         0.293        1450.375       2901.564       1202.487       1450.375         0.193          0.586        0.0041652   
          L20G0138T64-1ES             4640.195         0.152        1194.437       4907.614        879.667       1194.437         0.281          1.686       0.00606195   
          L20G0138T64-2ES             4625.983         0.152        1193.093       4892.583        876.972       1193.093         0.281          1.683       0.00606195   
          L20G013T34-0ES               3034.64         0.338        1957.752       4634.086       2366.044       1957.752         0.194          0.579       0.00419372   
   L20G013T34-0_G0128T64-1_C9ES       12824.96         0.264        5539.784       15821.395      5675.065       5539.784         0.431          0.916       0.00930402   
   L20G013T34-0_G0134T64-0_C9ES        6003.9          0.307        3308.305       8247.148       3653.498       3308.305         0.299          0.694       0.00645193   
   L20G013T34-0_G0135T64-1_C9ES       6078.306         0.315        3332.893       8557.475       3935.189       3332.893         0.319          0.693       0.00689986   
   L20G013T34-0_G0137T64-1_C9ES       6592.546         0.31         3551.266        9137.92       4105.442       3551.266         0.342          0.709       0.00738967   
   L20G013T34-0_G0138T64-2_C9ES       9513.318         0.247        4375.713       11352.984       3724.02       4375.713         0.424          0.872       0.00914978   
   L20G013T34-0_G0145T64-0_C9ES       6232.817         0.313        3642.519       8719.765       3972.761       3642.519         0.322          0.652       0.00695463   
    L20G013T34-0_G014T64-0_C9ES       12857.157        0.258        5669.655       15668.335      5448.019       5669.655         0.45           0.901       0.00971935   
    L20G013T34-0_G014T64-2_C9ES       10515.337        0.177        3503.353       11381.881      2447.865       3503.353         0.436          1.275       0.00942662   
   L20G013T34-0_G0156T64-1_C9ES       6107.137         0.303        3107.169       8291.437       3604.455       3107.169         0.312          0.754       0.00674523   
   L20G013T34-0_G0158T64-3_C9ES       11940.273        0.254        5575.551       14437.448       4915.7        5575.551         0.46           0.854       0.00992806   
   L20G013T34-0_G0158T64-5_C9ES        7502.02         0.256        3564.987       9106.295       3133.349       3564.987         0.397          0.838       0.00857356   
   L20G013T34-0_G015T64-10_C9ES       8348.301         0.178        2779.066       9045.629       1958.786       2779.066         0.405          1.275       0.00875013   
   L20G013T34-0_G015T64-17_C9ES       6546.006         0.299        3284.713       8787.376        3748.11       3284.713         0.312          0.767       0.00673105   
   L20G013T34-0_G0167T64-1_C9ES       7279.612         0.301        3994.269       9827.092       4231.695       3994.269         0.347           0.7        0.00749234   
   L20G013T34-0_G0167T64-4_C9ES       5948.569          0.3         2955.452       8007.689       3431.867       2955.452         0.297          0.774        0.0064162   
   L20G013T34-0_G0178T64-2_C9ES       12769.138        0.252         5974.38       15380.738      5181.746        5974.38         0.48           0.854       0.01037768   
   L20G013T34-0_G0178T64-3_C9ES       6549.045         0.265         3192.32        8096.12       2919.009        3192.32         0.384          0.811       0.00828561   
    L20G013T34-0_G017T64-6_C9ES       7587.046         0.289        3703.672       9916.923       4030.929       3703.672         0.347          0.795       0.00750528   
   L20G013T34-0_G018T64-10_C9ES       11264.456        0.241        4815.728       13299.964      4223.045       4815.728         0.417          0.942       0.00900917   
    L20G013T34-0_G018T64-3_C9ES        7946.27         0.265        4069.173        9823.41       3541.774       4069.173         0.385          0.772       0.00830653   
    L20G013T34-0_G023T34-1_C6ES       10508.619        0.243        4105.692       12451.087      3996.848       4105.692         0.358          1.03        0.00774074   
    L20G013T34-0_G023T64-0_C9ES       17245.814        0.274        7543.323       21742.649      8205.903       7543.323         0.482          0.897       0.01040436   
    L20G013T34-0_G025T34-1_C6ES       11456.259        0.254        4661.268       13852.208      4716.436       4661.268         0.378          0.98        0.00816773   
    L20G013T34-0_G025T34-4_C6ES       9036.079         0.237        3436.396       10596.175      3291.341       3436.396         0.345          1.063       0.00744972   
    L20G013T34-0_G025T64-3_C9ES       7822.415         0.31         4663.803       10842.64       4871.331       4663.803         0.358          0.64        0.00774124   
    L20G013T34-0_G027T34-0_C6ES       11549.824        0.255        4749.453       13992.388      4789.341       4749.453         0.389          0.969       0.00839486   
    L20G013T34-0_G027T34-2_C6ES       8268.354         0.236        3047.808       9679.658       2990.052       3047.808         0.338          1.097       0.00730358   
    L20G013T34-0_G028T64-0_C9ES       9204.973         0.295        4154.585       12222.443      5114.355       4154.585         0.369          0.855       0.00797796   
