         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G013T34-0_G0138T64-2_C9S       5182.897         0.267        2817.458       6434.488       2343.804       2817.458         0.314          0.726       0.00678198   
    L20G013T34-0_G0145T64-0_C9S       3787.574         0.326        2322.199       5532.205       2675.814       2322.199         0.237          0.615       0.00511242   
    L20G013T34-0_G014T64-0_C9S        8662.617         0.259         3933.6        10577.781      3697.227        3933.6          0.347          0.875       0.00749024   
    L20G013T34-0_G014T64-2_C9S        6362.538         0.14         1975.471       6666.402       1085.228       1975.471         0.323          1.413       0.00697444   
    L20G013T34-0_G0156T64-1_C9S        3895.44         0.313        2016.947       5449.754        2482.93       2016.947         0.232          0.735       0.00500073   
    L20G013T34-0_G0158T64-3_C9S       6512.562         0.272        3562.739       8173.937       3053.999       3562.739         0.343          0.719       0.00741277   
    L20G013T34-0_G0158T64-5_C9S       3900.082         0.282        2208.928       5009.838       1967.652       2208.928         0.291          0.689        0.0062778   
    L20G013T34-0_G015T64-10_C9S       5216.219         0.161        1667.665       5559.758        1066.89       1667.665         0.299          1.347       0.00646737   
    L20G013T34-0_G015T64-17_C9S       4370.078         0.308         2209.17       6020.829       2679.791        2209.17         0.239          0.756       0.00517259   
    L20G013T34-0_G0167T64-4_C9S       3993.646         0.309        1986.015       5518.799       2467.886       1986.015         0.226          0.768       0.00487583   
    L20G013T34-0_G0178T64-2_C9S       6850.579         0.268         3749.88        8523.17       3120.505        3749.88         0.359          0.72        0.00774873   
    L20G013T34-0_G0178T64-3_C9S       3353.227         0.294         1947.78       4440.544       1849.178        1947.78         0.279          0.665       0.00602591   
    L20G013T34-0_G017T64-6_C9S         4950.01         0.297        2405.825       6608.386       2791.879       2405.825         0.268          0.793        0.0057885   
    L20G013T34-0_G018T64-10_C9S       7846.392         0.237        3287.281       9201.086       2858.004       3287.281         0.328          0.965       0.00709375   
    L20G013T34-0_G018T64-3_C9S         5272.01         0.273        2766.729       6631.723       2490.317       2766.729         0.289          0.748       0.00623329   
    L20G013T34-0_G023T34-1_C6S        7021.241         0.242        2753.347       8304.467       2651.294       2753.347         0.26           1.027       0.00560781   
    L20G013T34-0_G023T64-0_C9S        11322.843        0.273         5076.79       14243.137      5348.523        5076.79         0.361          0.876       0.00779642   
    L20G013T34-0_G025T34-1_C6S        7620.408         0.252        3050.726       9178.967       3092.379       3050.726         0.274          0.998        0.0059217   
    L20G013T34-0_G025T34-4_C6S         5976.15         0.234        2220.607       6973.061       2130.152       2220.607         0.248          1.09        0.00536588   
