         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G013T34-0_G0158T64-3_C9S       7781.844         0.266        4066.891       9640.488       3493.692       4066.891         0.374          0.756       0.00808578   
    L20G013T34-0_G0158T64-5_C9S       4669.304         0.274         2522.95       5886.822       2221.748        2522.95         0.319          0.726       0.00687994   
    L20G013T34-0_G015T64-10_C9S       5943.328         0.165         1918.39       6357.926       1256.357        1918.39         0.327          1.33        0.00707074   
    L20G013T34-0_G015T64-17_C9S       4900.991         0.306        2480.199       6712.255       2959.582       2480.199         0.259          0.757       0.00559383   
    L20G013T34-0_G0167T64-1_C9S       5113.821         0.311        2919.769       7110.011       3209.308       2919.769         0.28           0.668        0.0060498   
    L20G013T34-0_G0167T64-4_C9S       4481.219         0.306        2229.862       6137.348       2706.093       2229.862         0.245          0.769       0.00528666   
    L20G013T34-0_G0178T64-2_C9S        8192.56         0.262        4276.971       10064.905      3573.178       4276.971         0.391          0.759       0.00845221   
    L20G013T34-0_G0178T64-3_C9S       4028.232         0.286        2232.443       5225.501       2093.128       2232.443         0.306          0.702       0.00661531   
    L20G013T34-0_G017T64-6_C9S        5616.323         0.295         2736.53       7457.402       3120.473        2736.53         0.289          0.792       0.00625054   
    L20G013T34-0_G018T64-10_C9S       8723.177         0.238        3674.973       10246.551      3200.366       3674.973         0.353          0.959       0.00762712   
    L20G013T34-0_G018T64-3_C9S        5925.189         0.27         3094.204       7403.951       2738.448       3094.204         0.314          0.754       0.00678827   
    L20G013T34-0_G023T34-1_C6S        7874.312         0.241         3082.94       9297.215        2952.08        3082.94         0.285          1.029       0.00616126   
    L20G013T34-0_G023T64-0_C9S        12763.542        0.273        5691.998       16055.409       6029.06       5691.998         0.393          0.881       0.00849385   
    L20G013T34-0_G025T34-1_C6S         8561.32         0.252        3442.524       10312.319      3474.204       3442.524         0.301          0.993       0.00650528   
    L20G013T34-0_G025T34-4_C6S        6717.682         0.234        2512.444       7838.292       2394.465       2512.444         0.273          1.083       0.00590396   
    L20G013T34-0_G025T64-3_C9S        5418.987         0.316        3471.546       7653.684       3535.912       3471.546         0.288          0.593       0.00622655   
    L20G013T34-0_G027T34-0_C6S        8628.502         0.253        3503.098       10413.051      3526.776       3503.098         0.309          0.983       0.00668349   
    L20G013T34-0_G027T34-2_C6S        6132.845         0.234        2204.051       7155.895       2186.005       2204.051         0.267          1.127       0.00577503   
    L20G013T34-0_G028T64-0_C9S        6262.544         0.309        2995.367       8654.178       3869.958       2995.367         0.295          0.799       0.00637569   
    L20G013T34-0_G028T64-1_C9S        3591.053         0.305        2567.451       4903.786       2152.021       2567.451         0.289          0.536       0.00624321   
    L20G013T34-0_G046T64-0_C9S        8582.949         0.229        2748.813       9934.356       2950.671       2748.813         0.321          1.27         0.0069275   
    L20G013T34-0_G048T64-0_C9S        10790.134        0.221        3072.908       12337.138       3500.01       3072.908         0.364          1.438       0.00785699   
    L20G013T34-0_G058T64-2_C9S        11783.333        0.208        3481.527       13228.59       3474.175       3481.527         0.382          1.401        0.008255    
    L20G013T34-0_G058T64-6_C9S        6133.094         0.298        3606.626       8210.331       3485.297       3606.626         0.314          0.655       0.00677963   
    L20G013T34-0_G067T64-0_C9S        10098.858        0.256        4147.766       12258.455      4217.963       4147.766         0.357          0.969       0.00770873   
    L20G013T34-0_G068T64-0_C9S        12759.021        0.237        3604.978       14961.89       4647.402       3604.978         0.386          1.431       0.00834671   
    L20G013T34-0_G068T64-3_C9S        5167.712         0.306        3068.521       7077.549       3120.648       3068.521         0.299          0.645       0.00646812   
    L20G013T34-0_G123T64-0_C9S        11215.822        0.205        3667.301       12541.78       3234.044       3667.301         0.334          1.269       0.00721136   
    L20G013T34-0_G123T64-1_C9S        12866.296        0.23         4080.885       14915.76       4455.357       4080.885         0.332          1.282        0.0071792   
    L20G013T34-0_G123T64-2_C9S        6988.617         0.264        3072.336       8621.443       3092.474       3072.336         0.28            0.9        0.00603747   
     L20G013T34-0_G12T64-0_C9S        11311.357        0.233        4190.129       13176.672      4002.822       4190.129         0.402          1.095       0.00869107   
     L20G013T34-0_G12T64-1_C9S        12102.203        0.23         4321.057       14029.955      4190.766       4321.057         0.409          1.139        0.0088354   
     L20G013T34-0_G12T64-2_C9S        7875.112         0.267        3537.597       9776.833       3561.275       3537.597         0.331          0.879       0.00715565   
     L20G013T34-0_G17T64-1_C9S         8827.65         0.201        2514.967       9820.819       2470.569       2514.967         0.352          1.461       0.00760055   
           L20G013T34-1S              2234.244         0.341        1448.345        3452.71       1786.607       1448.345         0.152          0.575       0.00327454   
    L20G013T34-1_G0128T64-2_C9S       7185.931         0.294         3578.53        9516.04        3962.77        3578.53         0.345          0.776       0.00745665   
    L20G013T34-1_G0128T64-3_C9S       9305.827         0.27         4144.193       11628.301      4300.879       4144.193         0.354          0.884       0.00764119   
    L20G013T34-1_G023T64-3_C9S        12761.677        0.273        5692.165       16053.063      6028.179       5692.165         0.393          0.881       0.00849383   
    L20G013T34-1_G025T64-0_C9S         5421.18         0.316        3473.712       7656.781       3537.343       3473.712         0.288          0.593       0.00622655   
    L20G013T34-1_G046T64-1_C9S        8579.329         0.229        2755.494       9930.167       2949.427       2755.494         0.321          1.267        0.0069275   
    L20G013T34-1_G048T64-1_C9S        10793.828        0.221        3075.469       12341.362      3501.208       3075.469         0.364          1.437       0.00785699   
    L20G013T34-1_G058T64-7_C9S        11777.805        0.208        3481.963       13222.384      3472.545       3481.963         0.382           1.4         0.008255    
    L20G013T34-1_G067T64-1_C9S        10098.077        0.256        4147.989       12257.507      4217.637       4147.989         0.357          0.969       0.00770873   
    L20G013T34-1_G068T64-2_C9S        12757.156        0.237        3606.307       14959.703      4646.723       3606.307         0.386          1.43        0.00834676   
    L20G013T34-1_G123T64-0_C9S        12876.989        0.23         4083.292       14928.156       4459.06       4083.292         0.332          1.282        0.0071792   
     L20G013T34-1_G12T64-0_C9S        12093.362        0.23         4319.639       14019.706      4187.704       4319.639         0.409          1.138        0.0088354   
     L20G013T34-1_G12T64-1_C9S        11316.012        0.234        4193.745       13203.692      4033.504       4193.745         0.402          1.093       0.00868837   
     L20G013T34-1_G12T64-2_C9S        7848.133         0.266        3526.878        9722.61       3523.453       3526.878         0.331          0.879       0.00714885   
          L20G0145T64-0S              1499.811         0.299         673.258        2013.35        858.761        673.258         0.129          0.857        0.0027922   
          L20G0145T64-1S              1498.939          0.3          675.297       2017.803        864.773        675.297         0.129          0.854       0.00279138   
