Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness1,Thickness2
L20G0T33-3_G017T34-0_C6S,6096.797,0.274,2891.523,7686.533,2900.978,2891.523,0.189,1.208,0.00409106,0.6,0.4
L20G0T33-3_G017T34-4_C6S,4200.069,0.301,1940.491,5669.872,2441.533,1940.491,0.172,1.202,0.00371921,0.6,0.4
L20G0T33-3_G018T64-1_C9S,4647.465,0.31,2426.553,6441.846,2894.163,2426.553,0.198,1.368,0.00426664,0.6,0.4
L20G0T33-3_G018T64-3_C9S,4588.423,0.262,1875.356,5637.071,2001.237,1875.356,0.2,1.032,0.00432406,0.6,0.4
L20G0T33-3_G01T34-8_C6S,5135.008,0.318,2991.843,7299.762,3403.701,2991.843,0.245,1.536,0.00529072,0.6,0.4
L20G0T33-3_G01T63-0_C9S,6640.232,0.202,2014.586,7396.656,1872.336,2014.586,0.234,0.729,0.00506172,0.6,0.4
L20G0T33-3_G01T63-1_C9S,8149.952,0.259,3693.751,9951.774,3478.42,3693.751,0.271,1.141,0.00585743,0.6,0.4
L20G0T33-3_G01T63-3_C9S,6896.282,0.272,3009.812,8655.545,3233.94,3009.812,0.248,1.11,0.00534869,0.6,0.4
L20G0T33-3_G01T63-4_C9S,7442.028,0.261,2899.443,9124.157,3222.47,2899.443,0.247,0.983,0.00532588,0.6,0.4
L20G0T33-3_G01T63-5_C9S,7875.09,0.227,2679.2,9086.525,2668.358,2679.2,0.234,0.835,0.00506039,0.6,0.4
L20G0T33-3_G01T63-6_C9S,8966.151,0.255,3241.351,10862.318,3717.975,3241.351,0.239,0.907,0.00516933,0.6,0.4
L20G0T33-3_G01T63-7_C9S,6692.242,0.284,2943.701,8638.451,3426.425,2943.701,0.247,1.13,0.00534314,0.6,0.4
L20G0T33-3_G01T63-9_C9S,7559.812,0.258,2811.463,9212.742,3203.352,2811.463,0.239,0.936,0.00516644,0.6,0.4
L20G0T33-3_G01T64-1_C9S,4494.21,0.293,1807.628,5935.727,2459.926,1807.628,0.161,1.04,0.00348674,0.6,0.4
L20G0T33-3_G023T64-3_C9S,7110.178,0.271,3047.966,8904.242,3310.082,3047.966,0.233,1.09,0.00502442,0.6,0.4
L20G0T33-3_G025T64-0_C9S,4347.789,0.303,2154.027,5902.834,2566.082,2154.027,0.182,1.291,0.00394191,0.6,0.4
L20G0T33-3_G028T64-1_C9S,4500.837,0.299,1774.323,6041.936,2577.088,1774.323,0.181,1.024,0.00390826,0.6,0.4
L20G0T33-3_G02T34-6_C6S,4531.172,0.302,2339.827,6134.226,2654.064,2339.827,0.191,1.345,0.00412453,0.6,0.4
L20G0T33-3_G03T63-0_C9S,5517.999,0.281,2419.952,7071.105,2763.533,2419.952,0.197,1.124,0.00426271,0.6,0.4
L20G0T33-3_G048T64-1_C9S,5811.094,0.238,1586.312,6825.916,2131.979,1586.312,0.212,0.676,0.00457953,0.6,0.4
L20G0T33-3_G058T64-3_C9S,4515.151,0.31,2490.45,6258.446,2811.765,2490.45,0.197,1.445,0.00426433,0.6,0.4
L20G0T33-3_G058T64-7_C9S,6139.688,0.224,1652.765,7051.598,2035.513,1652.765,0.219,0.659,0.00474012,0.6,0.4
L20G0T33-3_G05T63-0_C9S,6004.499,0.265,2394.071,7422.936,2676.297,2394.071,0.201,1.009,0.00434094,0.6,0.4
L20G0T33-3_G05T63-1_C9S,5723.632,0.282,2355.397,7352.273,2887.662,2355.397,0.201,1.055,0.0043437,0.6,0.4
