Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G02T34-5_G017T34-4_C6S,5122.282,0.305,3398.121,6994.766,3069.645,3398.121,0.284,0.578,0.00612715,1.0,"[40, 99]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 10, 10, 10, 10, 7.5, 7.5, 7.5, 0, 0, 5]"
L20G02T34-5_G023T34-2_C6S,7713.868,0.262,3284.585,9476.812,3364.397,3284.585,0.306,1.075,0.00661503,1.0,"[40, 65]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 5, 10, 5, 5, 5]"
L20G02T34-5_G025T34-2_C6S,7071.631,0.253,3124.613,8534.187,2890.428,3124.613,0.291,1.107,0.00627707,1.0,"[40, 89]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 5, 10, 3.333, 3.333, 3.333]"
L20G02T34-5_G025T34-5_C6S,7994.247,0.267,3445.044,9924.737,3615.15,3445.044,0.321,1.092,0.0069412,1.0,"[40, 92]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 5, 10, 6.667, 6.667, 6.667]"
L20G02T34-5_G027T34-1_C6S,6629.198,0.25,3050.768,7955.038,2651.679,3050.768,0.283,1.151,0.00610517,1.0,"[40, 104]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 5, 10, 2.5, 2.5, 2.5]"
L20G02T34-5_G027T34-3_C6S,8052.121,0.268,3514.45,10018.072,3667.819,3514.45,0.33,1.107,0.00711846,1.0,"[40, 106]","[0, 0, 0, 0, 1, 0]","[0, 10, 0, 0, 0, 10, 5, 5, 10, 5, 10, 5, 0, 0, 0, 0, 0, 10, 5, 5, 10, 7.5, 7.5, 7.5]"
L20G02T34-6S,2834.665,0.308,2229.705,3905.43,1738.255,2229.705,0.183,0.486,0.00395081,1.0,"[41, -1]","[0, 1, 0, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G02T34-6_G0125T64-3_C9S,9576.533,0.241,3982.201,11307.03,3590.243,3982.201,0.37,0.969,0.00798228,1.0,"[41, 150]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 10, 0, 10, 5, 10, 10, 3.333, 6.667, 6.667, 5, 0, 5]"
L20G02T34-6_G0128T64-2_C9S,6379.76,0.286,3851.997,8275.949,3315.016,3851.997,0.341,0.644,0.00737558,1.0,"[41, 169]","[0, 1, 0, 1, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 0, 5, 5]"
L20G02T34-6_G012T64-0_C9S,7347.533,0.217,2935.023,8352.112,2314.698,2935.023,0.275,1.029,0.00594632,1.0,"[41, 53]","[0, 1, 0, 1, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 10, 10, 0, 10, 5, 0, 5, 0, 0, 5]"
L20G02T34-6_G013T34-0_C6S,6432.92,0.313,4032.25,8999.711,4100.305,4032.25,0.316,0.608,0.00683531,1.0,"[41, 61]","[1, 1, 0, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 10, 10, 10, 10, 5, 5, 5, 0, 0, 5]"
L20G02T34-6_G013T34-1_C6S,6123.289,0.307,3836.901,8411.145,3726.149,3836.901,0.308,0.611,0.00665973,1.0,"[41, 62]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 0, 10, 0, 10, 10, 5, 10, 5, 5, 5]"
L20G02T34-6_G014T64-2_C9S,10903.512,0.21,3995.315,12273.831,3262.664,3995.315,0.377,1.128,0.00815313,1.0,"[41, 68]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 10, 0, 0, 5, 5, 2.5, 5, 10, 5, 10]"
L20G02T34-6_G0156T64-0_C9S,4408.761,0.298,3039.899,5901.978,2505.398,3039.899,0.265,0.559,0.00571326,1.0,"[41, 157]","[0, 1, 0, 1, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 10, 0, 10, 5, 0, 10, 2.5, 2.5, 5, 3.333, 3.333, 3.333]"
L20G02T34-6_G0158T64-3_C9S,11904.894,0.226,4531.927,13714.989,4004.635,4531.927,0.397,1.071,0.00858029,1.0,"[41, 176]","[1, 1, 0, 1, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 3.333]"
L20G02T34-6_G015T34-15_C6S,6763.677,0.315,4139.131,9522.39,4378.909,4139.131,0.325,0.621,0.00701425,1.0,"[41, 84]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 0, 10, 0, 10, 10, 5, 10, 6.667, 6.667, 6.667]"
L20G02T34-6_G015T34-6_C6S,5484.49,0.304,3533.947,7467.613,3261.716,3533.947,0.292,0.595,0.00630473,1.0,"[41, 78]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 0, 10, 0, 10, 10, 5, 10, 3.333, 3.333, 3.333]"
L20G02T34-6_G017T34-1_C6S,5118.315,0.305,3397.115,6989.349,3067.268,3397.115,0.284,0.577,0.00612715,1.0,"[41, 96]","[0, 1, 1, 0, 1, 1]","[0, 10, 10, 10, 0, 10, 5, 0, 5, 0, 5, 5, 0, 0, 0, 10, 0, 10, 10, 5, 10, 2.5, 2.5, 2.5]"
